Ref,Val,Package,PosX,PosY,Rot,Side
"BOOT_BTN1","SKRPACE010","KEY-SMD_4P-L4.2-W3.2-P2.20-LS4.6",83.200000,-108.600000,-90.000000,bottom
"C1","100nf","C_0603_1608Metric",126.620000,-42.820000,0.000000,bottom
"C2","100nf","C_0603_1608Metric",150.432501,-42.820000,0.000000,bottom
"C3","100nf","C_0603_1608Metric",169.482501,-42.820000,0.000000,bottom
"C4","100nf","C_0603_1608Metric",188.532501,-42.820000,0.000000,bottom
"C5","100nf","C_0603_1608Metric",207.582501,-42.820000,0.000000,bottom
"C6","100nf","C_0603_1608Metric",231.395000,-42.820000,0.000000,bottom
"C7","100nf","C_0603_1608Metric",250.445002,-42.820000,0.000000,bottom
"C8","100nf","C_0603_1608Metric",269.495001,-42.820000,0.000000,bottom
"C9","100nf","C_0603_1608Metric",288.545001,-42.820000,0.000000,bottom
"C10","100nf","C_0603_1608Metric",312.357501,-42.820000,0.000000,bottom
"C11","100nf","C_0603_1608Metric",331.407500,-42.820000,0.000000,bottom
"C12","100nf","C_0603_1608Metric",350.457502,-42.820000,0.000000,bottom
"C13","100nf","C_0603_1608Metric",369.507501,-42.820000,0.000000,bottom
"C14","100nf","C_0603_1608Metric",393.320001,-42.820000,0.000000,bottom
"C15","100nf","C_0603_1608Metric",30.287500,-65.150000,180.000000,bottom
"C16","100nf","C_0603_1608Metric",49.337500,-65.150000,180.000000,bottom
"C17","100nf","C_0603_1608Metric",68.387500,-65.150000,180.000000,bottom
"C18","100nf","C_0603_1608Metric",87.437500,-65.150000,180.000000,bottom
"C19","100nf","C_0603_1608Metric",116.012500,-65.150000,180.000000,bottom
"C20","100nf","C_0603_1608Metric",135.062500,-65.150000,180.000000,bottom
"C21","100nf","C_0603_1608Metric",154.112500,-65.150000,180.000000,bottom
"C22","100nf","C_0603_1608Metric",173.162500,-65.150000,180.000000,bottom
"C23","100nf","C_0603_1608Metric",192.212500,-65.150000,180.000000,bottom
"C24","100nf","C_0603_1608Metric",211.262500,-65.150000,180.000000,bottom
"C25","100nf","C_0603_1608Metric",230.312500,-65.150000,180.000000,bottom
"C26","100nf","C_0603_1608Metric",249.362500,-65.150000,180.000000,bottom
"C27","100nf","C_0603_1608Metric",268.412500,-65.150000,180.000000,bottom
"C28","100nf","C_0603_1608Metric",287.462500,-65.150000,180.000000,bottom
"C29","100nf","C_0603_1608Metric",306.512500,-65.150000,180.000000,bottom
"C30","100nf","C_0603_1608Metric",325.562500,-65.150000,180.000000,bottom
"C31","100nf","C_0603_1608Metric",344.612500,-65.150000,180.000000,bottom
"C32","100nf","C_0603_1608Metric",373.187500,-65.150000,180.000000,bottom
"C33","100nf","C_0603_1608Metric",40.894278,-85.681442,0.000000,bottom
"C34","100nf","C_0603_1608Metric",59.944278,-85.681442,0.000000,bottom
"C35","100nf","C_0603_1608Metric",78.994278,-85.681442,0.000000,bottom
"C36","100nf","C_0603_1608Metric",87.475000,-93.700000,180.000000,bottom
"C37","100nf","C_0603_1608Metric",131.384474,-85.674911,0.000000,bottom
"C38","100nf","C_0603_1608Metric",155.196974,-85.674911,0.000000,bottom
"C39","100nf","C_0603_1608Metric",169.000000,-87.667499,180.000000,bottom
"C40","100nf","C_0603_1608Metric",193.296974,-85.674911,0.000000,bottom
"C41","100nf","C_0603_1608Metric",212.346974,-85.674911,0.000000,bottom
"C42","100nf","C_0603_1608Metric",231.396974,-85.674911,0.000000,bottom
"C43","100nf","C_0603_1608Metric",245.200000,-87.667499,180.000000,bottom
"C44","100nf","C_0603_1608Metric",269.496974,-85.674911,0.000000,bottom
"C45","100nf","C_0603_1608Metric",288.546974,-85.674911,0.000000,bottom
"C46","100nf","C_0603_1608Metric",307.596974,-85.674911,0.000000,bottom
"C47","100nf","C_0603_1608Metric",321.400000,-87.667499,180.000000,bottom
"C48","100nf","C_0603_1608Metric",345.696974,-85.674911,0.000000,bottom
"C49","100nf","C_0603_1608Metric",364.746974,-85.674911,0.000000,bottom
"C50","100nf","C_0603_1608Metric",388.559474,-85.674911,0.000000,bottom
"C51","100nf","C_0603_1608Metric",417.134474,-85.674911,0.000000,bottom
"C52","100nf","C_0603_1608Metric",30.325000,-103.230000,180.000000,bottom
